190050015_9 (1).cpp,190050015_5.cpp,190050015_8.cpp,190050015_1.cpp,190050015_4.cpp,ass1alt.cpp,190050015_6.cpp,190050015_7.cpp,190050015_6 1.cpp,190050015_4 (1).cpp,190050015_8 (1).cpp,
1.0,3.10862446895e-15,3.33066907388e-16,4.4408920985e-16,0.0805822964025,0.426401432711,4.4408920985e-16,-6.66133814775e-16,0.0274219982921,0.0909090909091,-1.33226762955e-15,
3.10862446895e-15,1.0,1.66533453694e-15,3.33066907388e-16,1.0325074129e-14,0.353553390593,0.0,-1.7763568394e-15,-0.00840997795826,1.1990408666e-14,1.33226762955e-15,
3.33066907388e-16,1.66533453694e-15,1.0,1.11022302463e-15,4.4408920985e-15,2.99760216649e-15,3.77475828373e-15,1.66533453694e-15,0.0742636707965,3.5527136788e-15,0.836660026534,
4.4408920985e-16,3.33066907388e-16,1.11022302463e-15,1.0,6.66133814775e-15,3.33066907388e-16,-1.11022302463e-15,-8.881784197e-16,-0.00889008106602,7.43849426499e-15,1.22124532709e-15,
0.0805822964025,1.0325074129e-14,4.4408920985e-15,6.66133814775e-15,1.0,2.22044604925e-16,7.66053886991e-15,1.38777878078e-14,0.195479843333,0.96698755683,2.99760216649e-15,
0.426401432711,0.353553390593,2.99760216649e-15,3.33066907388e-16,2.22044604925e-16,1.0,1.33226762955e-15,-3.99680288865e-15,0.0177890412821,3.33066907388e-16,-2.88657986403e-15,
4.4408920985e-16,0.0,3.77475828373e-15,-1.11022302463e-15,7.66053886991e-15,1.33226762955e-15,1.0,1.99840144433e-15,0.0677872871888,8.65973959208e-15,-6.66133814775e-15,
-6.66133814775e-16,-1.7763568394e-15,1.66533453694e-15,-8.881784197e-16,1.38777878078e-14,-3.99680288865e-15,1.99840144433e-15,1.0,-0.00996622627187,1.53210777398e-14,8.881784197e-16,
0.0274219982921,-0.00840997795826,0.0742636707965,-0.00889008106602,0.195479843333,0.0177890412821,0.0677872871888,-0.00996622627187,1.0,0.227985246574,0.0408459465984,
0.0909090909091,1.1990408666e-14,3.5527136788e-15,7.43849426499e-15,0.96698755683,3.33066907388e-16,8.65973959208e-15,1.53210777398e-14,0.227985246574,1.0,2.22044604925e-15,
-1.33226762955e-15,1.33226762955e-15,0.836660026534,1.22124532709e-15,2.99760216649e-15,-2.88657986403e-15,-6.66133814775e-15,8.881784197e-16,0.0408459465984,2.22044604925e-15,1.0,
